PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
72,24821079.0,1487485.0,CC1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Br)Br,Active,30.0,,,98.68,98.19,99.05,98.43,99.06,22.63,15.05,20.49,14.92,0,9.38,100,0.43,CC1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Br)Br
73,4252027.0,3245634.0,CC1=CC(=NO1)NC(=O)CCCS(=O)(=O)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,Active,30.0,,,56.14,52.7,72.58,44.61,54.68,422.31,247.62,493.35,404.88,0,9.38,100,0.43,CC1=CC(=NO1)NC(=O)CCCS(=O)(=O)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3
74,22409525.0,2405293.0,CC1=CC(=CC(=C1NC(=O)CCl)C)SC#N,Active,30.0,,,54.12,54.62,54.69,53.19,53.98,405.4,404.78,417.96,411.02,0,9.38,100,0.43,CC1=CC(=CC(=C1NC(=O)CCl)C)SC#N
75,24827956.0,2407399.0,CCCNC(=O)COC(=O)C1=CC=CC=C1C(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,30.0,,,42.36,43.31,39.3,43.94,42.87,504.83,540.02,499.23,508.63,0,9.38,100,0.43,CCCNC(=O)COC(=O)C1=CC=CC=C1C(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-]
76,24781041.0,5770966.0,COCCN(CC(=O)NC1CCCCC1)C(=O)/C=C/C(=O)C2=C(C=C(C=C2)OC)O,Active,30.0,,,98.74,98.31,99.05,98.62,98.99,21.54,15.02,18.85,15.59,0,9.38,100,0.43,COCCN(CC(=O)NC1CCCCC1)C(=O)/C=C/C(=O)C2=C(C=C(C=C2)OC)O
77,24831321.0,2530952.0,C1=CC=C(C(=C1)C2=NN=C(O2)CN3C(=O)C(=C(C=N3)Cl)Cl)Br,Active,30.0,,,73.43,74.31,75.68,66.92,76.8,232.38,220.35,297.36,210.53,0,9.38,100,0.43,C1=CC=C(C(=C1)C2=NN=C(O2)CN3C(=O)C(=C(C=N3)Cl)Cl)Br
78,56321071.0,991372.0,CC1(CC2=C(C(C3=C(O2)CC(CC3=O)(C)C)C4=C(C=C(C=C4)O)O)C(=O)C1)C,Active,30.0,,,96.71,96.69,96.22,97.23,96.69,35.77,39.92,31.08,35.8,0,9.38,100,0.43,CC1(CC2=C(C(C3=C(O2)CC(CC3=O)(C)C)C4=C(C=C(C=C4)O)O)C(=O)C1)C
79,121286564.0,367978.0,C1=CC=C(C=C1)C(=O)C(=CC2=CC=C(C=C2)F)C(=O)C3=CC=CC=C3,Active,30.0,,,43.27,40.92,41.56,39.38,51.23,525.8,520.2,539.31,435.24,0,9.38,100,0.43,C1=CC=C(C=C1)C(=O)C(=CC2=CC=C(C=C2)F)C(=O)C3=CC=CC=C3
80,14736780.0,2129554.0,C1=CC=C2C(=C1)N=C(O2)SC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Active,30.0,,,74.25,66.55,76.28,74.56,79.6,300.56,215.14,230.23,185.92,0,9.38,100,0.43,C1=CC=C2C(=C1)N=C(O2)SC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-]
81,22413853.0,985526.0,COC1=CC(=NC(=N1)N2C(=O)C(=C(C=N2)Br)Br)OC,Active,30.0,,,99.71,99.36,99.4,100.12,99.94,12.28,11.97,5.63,7.24,0,9.38,100,0.43,COC1=CC(=NC(=N1)N2C(=O)C(=C(C=N2)Br)Br)OC
