PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
1025,7968563.0,891159.0,C1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)NC3=CC=CC=C3F,Active,30.0,,,66.37,67.18,66.5,66.67,65.11,292.78,298.77,297.29,310.87,0,8.32,100,0.39,C1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)NC3=CC=CC=C3F
1026,99355656.0,235262.0,CC1=CCCC(C2CC(C(CC(=CCC1)C)OC(=O)C)C(=C)C(=O)O2)(C)O,Active,30.0,,,92.43,92.17,91.72,93.35,92.46,74.44,78.35,64.14,71.89,0,8.32,100,0.39,CC1=CCCC(C2CC(C(CC(=CCC1)C)OC(=O)C)C(=C)C(=O)O2)(C)O
1027,14741186.0,2872147.0,CC1=CC=C(C=C1)C2=[N+](C3(CCCCC3=O)N(C2(C)C)O)[O-],Inactive,21.0,,,21.29,21.79,19.8,26.25,17.32,689.44,706.85,650.49,728.51,0,8.32,100,0.39,CC1=CC=C(C=C1)C2=[N+](C3(CCCCC3=O)N(C2(C)C)O)[O-]
1028,49728251.0,1104205.0,CC1=C(C=C(C=C1)C2=NC3=C(O2)C=CC=N3)NC(=O)C4=CC=C(O4)[N+](=O)[O-],Inactive,21.0,,,-6.75,-8.84,-11.08,1.43,-8.52,957.07,976.7,867.31,954.31,0,8.32,100,0.39,CC1=C(C=C(C=C1)C2=NC3=C(O2)C=CC=N3)NC(=O)C4=CC=C(O4)[N+](=O)[O-]
1029,22402983.0,2426234.0,C1=CC(=CC=C1NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,Active,30.0,,,52.38,51.22,53.03,53.41,51.85,432.24,416.42,413.1,426.74,0,8.32,100,0.39,C1=CC(=CC=C1NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
1030,14720985.0,727658.0,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CCCCCC2=O,Active,30.0,,,94.82,94.68,95,94.72,94.88,52.55,49.75,52.14,50.8,0,8.32,100,0.39,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CCCCCC2=O
1031,17504309.0,5806576.0,C1=CC(=C(C#N)C#N)N(C=C1)/C(=C\C2=CC=CO2)/C(=O)C3=CC=C(C=C3)Cl,Active,30.0,,,97.59,97.56,96.82,98.06,97.94,27.37,33.81,23.02,24.02,0,8.32,100,0.39,C1=CC(=C(C#N)C#N)N(C=C1)/C(=C\C2=CC=CO2)/C(=O)C3=CC=C(C=C3)Cl
1032,49729763.0,1077343.0,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CC4=CC=CO4)C(=O)NCCC5=CC=CC=C5,Inactive,21.0,,,4.33,-0.91,4.04,3.98,10.21,887.8,844.52,845.06,790.64,0,8.32,100,0.39,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CC4=CC=CO4)C(=O)NCCC5=CC=CC=C5
1033,24808549.0,889599.0,COC1=CC2=C(C=C1/C=C/[N+](=O)[O-])OCO2,Active,30.0,,,78.77,74.88,80.24,79.09,80.85,225.53,178.66,188.78,173.33,0,8.32,100,0.39,COC1=CC2=C(C=C1/C=C/[N+](=O)[O-])OCO2
1034,7970423.0,3702591.0,C1CCCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl,Active,30.0,,,83.62,84.1,84.32,83.29,82.77,144.96,143.02,152.01,156.62,0,8.32,100,0.39,C1CCCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl
1035,26727034.0,2801235.0,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=C(C=C2)Cl,Active,30.0,,,75.33,76.38,61.2,83.43,80.34,212.44,345.11,150.82,177.85,0,8.32,100,0.39,COC1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)C2=CC=C(C=C2)Cl
1036,92763821.0,3826912.0,C=C1CC2(CC(OC(C2)C3=CC=CC=C3)C4=CC=CC=C4)OC1=O,Active,30.0,,,91.27,84.15,91.23,95.76,93.95,144.54,82.68,43.1,58.93,0,8.32,100,0.39,C=C1CC2(CC(OC(C2)C3=CC=CC=C3)C4=CC=CC=C4)OC1=O
1037,92763862.0,336482.0,C1=CC=C(C=C1)CN2C3C=CC(=O)C2C4C3C(=O)N(C4=O)C5=CC=CC=C5,Active,30.0,,,97.64,98.21,96.78,97.78,97.79,21.66,34.19,25.39,25.33,0,8.32,100,0.39,C1=CC=C(C=C1)CN2C3C=CC(=O)C2C4C3C(=O)N(C4=O)C5=CC=CC=C5
1038,121286225.0,101486.0,C1=CC=C2C(=C1)C=CC(=N2)NN=CC3=CC=CC=N3,Active,30.0,,,80.8,81.13,80.23,80.58,81.24,170.89,178.74,175.69,169.99,0,8.32,100,0.39,C1=CC=C2C(=C1)C=CC(=N2)NN=CC3=CC=CC=N3
1039,14745056.0,135512388.0,C1C/C(=C\C2=CC=C(C=C2)F)/C3=C(C1)C(N4C(=NC=N4)N3)C5=CC=C(C=C5)F,Inactive,21.0,,,15.91,20.6,13.92,16.24,12.89,699.82,758.25,737.91,767.2,0,8.32,100,0.39,C1C/C(=C\C2=CC=C(C=C2)F)/C3=C(C1)C(N4C(=NC=N4)N3)C5=CC=C(C=C5)F
1040,4261260.0,892370.0,CCOC1=CC=C(C=C1)OCC2=CC(=CC=C2)C(=O)N3CCOCC3,Active,30.0,,,76.59,77.71,78.05,76.68,73.92,200.76,197.79,209.84,233.9,0,8.32,100,0.39,CCOC1=CC=C(C=C1)OCC2=CC(=CC=C2)C(=O)N3CCOCC3
1041,87342865.0,9550553.0,CCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Inactive,21.0,,,36.33,44.81,38.91,31.81,29.8,488.29,539.87,601.91,619.43,0,8.32,100,0.39,CCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-]
1042,26662405.0,1862923.0,CC(C)CC1=NC2=C(C3=C1CCCC3)C4=C(O2)C(=NC=N4)Cl,Active,30.0,,,45.14,44.77,42.2,42.4,51.19,488.61,511.12,509.38,432.52,0,8.32,100,0.39,CC(C)CC1=NC2=C(C3=C1CCCC3)C4=C(O2)C(=NC=N4)Cl
1043,17410787.0,2767048.0,C1=CC=C(C=C1)NC(=O)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,30.0,,,47.12,45.87,46.32,49.66,46.63,479.06,475.08,445.92,472.39,0,8.32,100,0.39,C1=CC=C(C=C1)NC(=O)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)Cl
1044,51086417.0,24892079.0,CN(C)CCCN(C1=NC2=C(S1)C=C(C=C2)F)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl,Inactive,21.0,,,15.37,11.98,18.71,13.71,17.07,775.16,716.37,760.07,730.7,0,8.32,100,0.39,CN(C)CCCN(C1=NC2=C(S1)C=C(C=C2)F)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl
1045,24804310.0,2905495.0,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=C(C4=NON=C4C(=C3)Cl)[N+](=O)[O-],Active,30.0,,,98.54,98.44,99.28,97.6,98.84,19.7,12.36,27,16.15,0,8.32,100,0.39,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=C(C4=NON=C4C(=C3)Cl)[N+](=O)[O-]
1046,92763438.0,430232.0,CC1=CC2C3(CC1O)COC(=O)C4C(O4)(C(COC(C=CC=CC(=O)OC5C3(C6(CO6)C(C5)O2)C)C(C)O)O)C,Active,30.0,,,66.31,65.22,66.03,66.62,67.36,309.92,302.83,297.68,291.25,0,8.32,100,0.39,CC1=CC2C3(CC1O)COC(=O)C4C(O4)(C(COC(C=CC=CC(=O)OC5C3(C6(CO6)C(C5)O2)C)C(C)O)O)C
1047,14733684.0,4655086.0,COC1=CC=CC=C1C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F,Active,30.0,,,67.65,69.29,66.52,66.78,68.02,274.41,298.57,296.34,285.45,0,8.32,100,0.39,COC1=CC=CC=C1C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F
1048,92763420.0,5370239.0,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,30.0,,,68.93,70.45,68.51,67.34,69.4,264.26,281.19,291.39,273.4,0,8.32,100,0.39,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O
1049,22400957.0,5015783.0,C1=CC(=CC(=C1)N(CC(=O)NCC2=CC=C(C=C2)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C(F)(F)F,Inactive,21.0,,,39.6,40.46,39.99,40.97,36.99,526.34,530.42,521.86,556.59,0,8.32,100,0.39,C1=CC(=CC(=C1)N(CC(=O)NCC2=CC=C(C=C2)F)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C(F)(F)F
1050,17416347.0,5710160.0,CCOC(=O)CC1=CSC(=N1)N/N=C/C2=CC=C(C=C2)C(F)(F)F,Active,30.0,,,58.12,58.36,57.94,58.55,57.65,369.88,373.53,368.22,376.13,0,8.32,100,0.39,CCOC(=O)CC1=CSC(=N1)N/N=C/C2=CC=C(C=C2)C(F)(F)F
1051,49726249.0,3161446.0,CC(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active,30.0,,,52.13,50.29,52.43,53.42,52.35,440.36,421.68,413.01,422.39,0,8.32,100,0.39,CC(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl
1052,92764050.0,299645.0,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,30.0,,,59.85,62.54,56.72,62.99,57.15,333.32,384.21,329.47,380.46,0,8.32,100,0.39,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O
1053,14719335.0,135472366.0,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=N/O,Inactive,21.0,,,25.68,25.99,20.97,29.35,26.41,652.71,696.63,623.39,649.09,0,8.32,100,0.39,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=N/O
1054,24810842.0,2873368.0,C1COCCN1CC#CC23CC4CC(C2)CC(C4)C3,Inactive,21.0,,,3.91,5.63,5.27,4.48,0.25,830.64,833.79,840.66,877.7,0,8.32,100,0.39,C1COCCN1CC#CC23CC4CC(C2)CC(C4)C3
1055,49669041.0,5350726.0,CCC1=CC=C(C=C1)/C=C/C2=C(C(=O)N(C(=O)N2C)C)[N+](=O)[O-],Inactive,21.0,,,36.32,36.01,36.39,39,33.87,565.18,561.88,539.05,583.9,0,8.32,100,0.39,CCC1=CC=C(C=C1)/C=C/C2=C(C(=O)N(C(=O)N2C)C)[N+](=O)[O-]
1056,24821713.0,1487467.0,COC(=O)CN1C=CC(=C(C1=O)C#N)C2=CC=C(C=C2)Cl,Inactive,21.0,,,4.37,7.06,7.96,0.8,1.65,818.17,810.31,872.83,865.41,0,8.32,100,0.39,COC(=O)CN1C=CC(=C(C1=O)C#N)C2=CC=C(C=C2)Cl
1057,17432878.0,805875.0,CCOC(=O)CC1=CSC(=N1)NC(=S)NC(=O)C2=CC=CC=C2,Active,30.0,,,86.75,88.25,88.56,85.41,84.79,110.06,107.44,134.58,139.98,0,9.98,100,0.78,CCOC(=O)CC1=CSC(=N1)NC(=S)NC(=O)C2=CC=CC=C2
1058,49721840.0,16447014.0,CCCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C,Inactive,21.0,,,22.18,35.19,30.48,10.71,12.35,567.65,608.29,778.73,764.58,0,9.98,100,0.78,CCCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C
1059,7967239.0,5308704.0,CCOC1=CC=C(C=C1)C2=CC(=NO2)CCCC(=O)NC3=CC(=CC=C3)OC,Active,30.0,,,52.36,49.48,51.51,53.64,54.81,444.45,426.96,408.55,398.43,0,9.98,100,0.78,CCOC1=CC=C(C=C1)C2=CC(=NO2)CCCC(=O)NC3=CC(=CC=C3)OC
1060,22409494.0,6377798.0,CCOC(=O)/C(=C\C1=CC=C(C=C1)Cl)/C2=NC3=C(C(=C(S3)C)C)C(=O)N2,Active,30.0,,,97.69,97.89,97.53,97.47,97.88,27.01,30.07,30.6,27.09,0,9.98,100,0.78,CCOC(=O)/C(=C\C1=CC=C(C=C1)Cl)/C2=NC3=C(C(=C(S3)C)C)C(=O)N2
1061,17506326.0,1333327.0,CC1=C(C(=CC=C1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Inactive,21.0,,,25.48,34.22,15.03,25.43,27.23,576.05,741.46,651.82,636.32,0,9.98,100,0.78,CC1=C(C(=CC=C1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-]
1062,49721839.0,16452961.0,CC1=CC=CC=C1CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)C)Cl,Inactive,21.0,,,10.39,2.48,-16.66,26.53,29.23,849.76,1014.75,642.37,619.07,0,9.98,100,0.78,CC1=CC=CC=C1CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)C)Cl
1063,24806411.0,9591202.0,C1COCCN1C2=NC(=NC(=N2)N/N=C/C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])NCC5=CC=CC=C5,Inactive,21.0,,,15.89,29.96,22.07,5.08,6.46,612.78,680.83,827.3,815.41,0,9.98,100,0.78,C1COCCN1C2=NC(=NC(=N2)N/N=C/C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])NCC5=CC=CC=C5
1064,22411876.0,1519056.0,COC(=O)C1=CC(=O)N(C(=NC2=CC=C(C=C2)F)S1)C3=CC=C(C=C3)F,Active,30.0,,,66.09,67.9,66.78,63.82,65.86,285.62,295.22,320.79,303.19,0,9.98,100,0.78,COC(=O)C1=CC(=O)N(C(=NC2=CC=C(C=C2)F)S1)C3=CC=C(C=C3)F
1065,24816965.0,4326676.0,C1=CC=C(C=C1)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)F,Inactive,21.0,,,13.06,14.39,17.41,7.94,12.52,746.99,721,802.63,763.17,0,9.98,100,0.78,C1=CC=C(C=C1)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)F
1066,89855991.0,44825950.0,C/C/1=C/CC[C@]([C@@H]2C[C@@H]([C@H](C/C(=C/CC1)/C)OC(=O)C)C(=C)C(=O)O2)(C)O,Active,30.0,,,96.2,95.9,96.35,95.53,97,44.11,40.27,47.29,34.66,0,9.98,100,0.78,C/C/1=C/CC[C@]([C@@H]2C[C@@H]([C@H](C/C(=C/CC1)/C)OC(=O)C)C(=C)C(=O)O2)(C)O
1067,26732241.0,16746405.0,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N([C@H]2C3=C(C4=CC=CC=C4C=C3)Br)CC5=CC=CC=C5,Inactive,21.0,,,23.41,24.59,18.51,27.41,23.12,659.09,711.49,634.75,671.74,0,9.98,100,0.78,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N([C@H]2C3=C(C4=CC=CC=C4C=C3)Br)CC5=CC=CC=C5
1068,51090363.0,24892604.0,CCOC1=CC=C(C=C1)C(=O)NC2=NN=C(S2)SCC(=O)NCC3CCCO3,Active,30.0,,,59.05,58.03,58.78,60.68,58.7,370.73,364.21,347.86,364.94,0,9.98,100,0.78,CCOC1=CC=C(C=C1)C(=O)NC2=NN=C(S2)SCC(=O)NCC3CCCO3
1069,24787768.0,1548765.0,C1CC(=O)N(C1=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inactive,21.0,,,-22.47,-26.23,-33.06,-16.21,-14.37,1097.31,1156.15,1010.89,995.06,0,9.98,100,0.78,C1CC(=O)N(C1=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4
1070,49824359.0,1792233.0,CN(C1CCCCC1)C(=S)NC(=O)C2=CC=CC=C2,Inactive,21.0,,,-0.08,-0.49,-4.27,4.34,0.1,875.33,907.94,833.72,870.25,0,9.98,100,0.78,CN(C1CCCCC1)C(=S)NC(=O)C2=CC=CC=C2
1071,14729241.0,6404548.0,CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=CC=CC=C3Cl,Inactive,21.0,,,10.68,7.42,9.92,7.79,17.61,807.16,785.57,803.9,719.27,0,9.98,100,0.78,CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=CC=CC=C3Cl
1072,14738397.0,9551422.0,CC1=C(N=C(O1)C2=CC(=CC=C2)Cl)CSCC(=O)O,Inactive,21.0,,,34.79,31.45,37.38,36.32,34.04,599.92,548.81,557.95,577.58,0,9.98,100,0.78,CC1=C(N=C(O1)C2=CC(=CC=C2)Cl)CSCC(=O)O
1073,859780.0,661082.0,CCOC(=O)C1CCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl,Active,30.0,,,91.01,90.47,91.95,90.79,90.85,91,78.23,88.2,87.67,0,9.98,100,0.78,CCOC(=O)C1CCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl
1074,26724673.0,5308495.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)N4CCN(CC4)C5=CC=CC=N5,Active,30.0,,,81.03,81.6,79.67,79.59,83.28,167.48,184.11,184.74,152.96,0,9.98,100,0.78,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)N4CCN(CC4)C5=CC=CC=N5
1075,14730541.0,5797751.0,C1=CC=C(C=C1)C(=O)/C(=C/C2=CC=CC=C2Cl)/N3C=CC=CC3=C(C#N)C#N,Active,30.0,,,87.8,88.14,77.36,94.16,91.54,111.05,203.99,59.15,81.73,0,9.98,100,0.78,C1=CC=C(C=C1)C(=O)/C(=C/C2=CC=CC=C2Cl)/N3C=CC=CC3=C(C#N)C#N
1076,22411801.0,15945544.0,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5,Active,30.0,,,72.22,72.65,72.75,71.4,72.07,244.6,243.78,255.41,249.59,0,9.98,100,0.78,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C)CCC(=O)NC(C)C4=CC5=C(C=C4)OCCO5
1077,26658074.0,4079689.0,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CC=N5,Inactive,21.0,,,13.86,19.1,-2.42,19.71,19.07,706.43,891.94,701.18,706.63,0,9.98,100,0.78,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CC=N5
1078,7970825.0,4415120.0,COC1=CC2=C(C=C1)C=C(C(=O)N2)CCNC(=O)C3=CC4=C(C=C3)OCO4,Inactive,21.0,,,-11.72,-15.05,-19.39,-6.79,-5.64,1000.9,1038.3,929.67,919.71,0,9.98,100,0.78,COC1=CC2=C(C=C1)C=C(C(=O)N2)CCNC(=O)C3=CC4=C(C=C3)OCO4
1079,87347293.0,657717.0,CC(C)NCC(CN1C2=CC=CC=C2C3=C1C4=C(CC3)N(N=C4)C5=CC=CC=C5)O,Inactive,21.0,,,-3.71,-3.46,-10.29,4.63,-5.7,900.98,959.8,831.22,920.27,0,9.98,100,0.78,CC(C)NCC(CN1C2=CC=CC=C2C3=C1C4=C(CC3)N(N=C4)C5=CC=CC=C5)O
1080,17402747.0,1474463.0,C1=CC(=CC(=C1)C(F)(F)F)C(=O)OCN2C(=O)C(=C(C=N2)Cl)Cl,Active,30.0,,,96.63,96.86,94.53,97.55,97.56,35.82,55.92,29.9,29.85,0,9.98,100,0.78,C1=CC(=CC(=C1)C(F)(F)F)C(=O)OCN2C(=O)C(=C(C=N2)Cl)Cl
1081,14724907.0,1163357.0,CCN1C(=NN=C1SCC(=O)OC2CCCCC2)COC3=CC=CC4=CC=CC=C43,Inactive,21.0,,,13.98,8.59,18.48,15.76,13.11,797.07,711.72,735.19,758.06,0,9.98,100,0.78,CCN1C(=NN=C1SCC(=O)OC2CCCCC2)COC3=CC=CC4=CC=CC=C43
1082,49680425.0,3555173.0,COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O,Active,30.0,,,87.94,83.55,87.86,89.02,91.33,150.66,113.43,103.49,83.58,0,9.98,100,0.78,COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O
1083,17504405.0,3093461.0,C1=CC=C(C(=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC(=CC=C2)Cl)Cl,Inactive,21.0,,,19.47,10.19,18.61,22.54,26.54,783.23,710.64,676.74,642.21,0,9.98,100,0.78,C1=CC=C(C(=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC(=CC=C2)Cl)Cl
1084,26728763.0,9580773.0,CC(C)(C)C1=CC=C(C=C1)OC/C(=N/OC(=O)N(C)C)/N,Inactive,21.0,,,-76.08,-77.9,-78.24,-81.93,-66.24,1542.86,1545.81,1577.64,1442.27,0,9.98,100,0.78,CC(C)(C)C1=CC=C(C=C1)OC/C(=N/OC(=O)N(C)C)/N
1085,22415173.0,803124.0,C1=CC=C(C=C1)OCCN2C(=O)C3=CC=CC=C3C=N2,Active,30.0,,,64.34,62.6,62.28,65.18,67.31,331.3,334.05,309.06,290.68,0,9.98,100,0.78,C1=CC=C(C=C1)OCCN2C(=O)C3=CC=CC=C3C=N2
1086,17509718.0,4381127.0,C1CCC(CC1)NC(=O)C(C2=CN=CC=C2)N(C3=CC(=CC=C3)Cl)C(=O)CCl,Active,30.0,,,98.43,98.28,97.83,98.94,98.67,23.57,27.48,17.91,20.21,0,9.98,100,0.78,C1CCC(CC1)NC(=O)C(C2=CN=CC=C2)N(C3=CC(=CC=C3)Cl)C(=O)CCl
1087,22409381.0,3535755.0,CC1CC(CC2(C1)C(=O)N(C(=O)N2)CC(=O)C3=C(NC4=CC=CC=C43)C)(C)C,Inactive,21.0,,,27.56,24.66,26.58,30.52,28.49,658.47,641.87,607.92,625.4,0,9.98,100,0.78,CC1CC(CC2(C1)C(=O)N(C(=O)N2)CC(=O)C3=C(NC4=CC=CC=C43)C)(C)C
1088,49676642.0,7422385.0,CC1CCN(CC1)C2=NN=C(C=C2)C3=CC(=CC=C3)NC(=O)C(F)(F)F,Active,30.0,,,93.5,92.64,93.73,94.08,93.55,72.25,62.83,59.79,64.39,0,9.98,100,0.78,CC1CCN(CC1)C2=NN=C(C=C2)C3=CC(=CC=C3)NC(=O)C(F)(F)F
1089,24813594.0,16194072.0,COCCN(CC1=CC=CO1)C(=O)CN2C3=C(C=N2)C(=O)OC4=CC=CC=C43,Inactive,21.0,,,-4.46,-7.56,-6.25,-0.25,-3.79,936.26,925.03,873.3,903.82,0,9.98,100,0.78,COCCN(CC1=CC=CO1)C(=O)CN2C3=C(C=N2)C(=O)OC4=CC=CC=C43
1090,92764836.0,386355.0,CCCCCCCCCCCCCCC(C[N+](C)(CCO)CCO)O.[Cl-],Inactive,21.0,,,39.3,39.05,35.98,41.48,40.69,534.36,560.86,513.37,520.22,0,9.98,100,0.78,CCCCCCCCCCCCCCC(C[N+](C)(CCO)CCO)O.[Cl-]
1091,47200089.0,23724061.0,COC(=O)CCCNC(=O)CCC1=NN=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3,Active,30.0,,,52.39,52.99,51.63,53.82,51.14,414.15,425.88,407.04,430.12,0,9.98,100,0.78,COC(=O)CCCNC(=O)CCC1=NN=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3
1092,99356404.0,295538.0,C1OC2=C(O1)C=C(C=C2)C=CC3=NC4=CC=CC=C4N=C3,Active,30.0,,,91.9,91.89,90.98,93.23,91.52,78.69,86.6,67.14,81.91,0,9.98,100,0.78,C1OC2=C(O1)C=C(C=C2)C=CC3=NC4=CC=CC=C4N=C3
1093,121285143.0,51360493.0,CC[C@H](C)C1C(=O)NCC(=O)O[C@H](C(C(=O)N[C@H](C(=O)N([C@H](C(=O)OC(C(=O)N2CCC[C@H]2C(=O)N1)[C@@H](C)CC)CC3=CC=CC=C3)C)C(C)C)(C)C)CCCC=C,Inactive,21.0,,,-13.4,-6.64,-11.49,-13.72,-21.76,928.39,970.23,989.38,1058.78,0,9.98,100,0.78,CC[C@H](C)C1C(=O)NCC(=O)O[C@H](C(C(=O)N[C@H](C(=O)N([C@H](C(=O)OC(C(=O)N2CCC[C@H]2C(=O)N1)[C@@H](C)CC)CC3=CC=CC=C3)C)C(C)C)(C)C)CCCC=C
1094,17411578.0,9567047.0,COC1=C(C=C(C=C1)C(=O)O/N=C(/CC2=CC=C(C=C2)Cl)\N)OC,Inactive,21.0,,,4.54,8.05,-0.49,7.56,3.07,801.73,875.37,805.95,844.62,0,9.98,100,0.78,COC1=C(C=C(C=C1)C(=O)O/N=C(/CC2=CC=C(C=C2)Cl)\N)OC
1095,121285144.0,10032587.0,CC[C@H](C)[C@H]1C2=NC(=CS2)C(=O)O[C@H](C(C(=O)O[C@H](C3=NC(=CS3)C(=O)NCC(=O)N1)C(C)(C)O)(C)C)CCCC(C)(Cl)Cl,Active,30.0,,,44.13,44.76,45.19,43.81,42.77,485.1,481.42,493.35,502.25,0,9.98,100,0.78,CC[C@H](C)[C@H]1C2=NC(=CS2)C(=O)O[C@H](C(C(=O)O[C@H](C3=NC(=CS3)C(=O)NCC(=O)N1)C(C)(C)O)(C)C)CCCC(C)(Cl)Cl
1096,103074705.0,49789998.0,CS(=O)(=O)NC1=CC=CC(=C1)NC(=O)C2CC3=C(C=CN=C3O2)C4=CC=CC=C4,Inactive,21.0,,,22.02,20.73,21.65,21.71,24,692.34,684.37,683.88,664.15,0,9.98,100,0.78,CS(=O)(=O)NC1=CC=CC(=C1)NC(=O)C2CC3=C(C=CN=C3O2)C4=CC=CC=C4
1097,24782108.0,3554511.0,CCOC1=CC=C(C=C1)C(=O)CSCCC(=O)O,Active,30.0,,,82.29,83.65,82.14,81.71,81.66,149.73,162.77,166.49,166.94,0,9.98,100,0.78,CCOC1=CC=C(C=C1)C(=O)CSCCC(=O)O
